,Erlang value,Blocking Prob.
0,1.0,0.3363059292905667
1,0.25,0.04654348275379279
2,0.0625,0.004419747618683642
3,0.015625,0.0005037956933285195
4,0.00390625,0.0
5,0.0009765625,0.0
6,10.0,0.8971223546326188
7,2.5,0.63096871476994
8,0.625,0.18677900761893051
9,0.15625,0.01922403630599974
10,0.0390625,0.0009646996075670154
11,0.009765625,0.0
12,100.0,0.9840238885747684
13,25.0,0.9382869776364796
14,6.25,0.7700623566116873
15,1.5625,0.355135902811058
16,0.390625,0.033062904056891586
17,0.09765625,7.896390544801116e-06
18,1000.0,0.9899535176130707
19,250.0,0.960792155563478
20,62.5,0.8523976788444225
21,15.625,0.5277976217450744
22,3.90625,0.07726162722430058
23,0.9765625,3.400142006680342e-05
